response_id,group,perception_1,mean_att,mean_int,manipulation_check_gf_1,manipulation_check_lf_1
R_OuOD2bkltKwl8kx,2,4.71,4.655,4.29,4.74,4.41
R_1hEJy3zevhAY8AW,2,4.01,4.15,3.9366666666666665,4.28,4.23
R_1LMbmfeqOp3Z0br,1,4.29,3.07,3.39,4.06,2.45
R_2VxYBiShgkOFnp1,2,3.5,4.085,4.116666666666667,4.51,4.39
R_zUcaE9DNEsvt6SZ,1,5,4.83,4.966666666666667,5,5
R_1IL4dASCVYRWCCD,1,4.39,3.9275,3.33,4.04,3.61
R_1o2c1xKPl3xO4sV,2,4.03,4.1625,4.343333333333333,3.46,3.12
R_3eonkjsG3vQuC6R,2,4.01,4.0875,4.09,3.97,4
R_3nu6YPpCAJPTOuC,1,3.68,5,3.013333333333333,3.26,4.06
R_123bYmNknv6al33,2,5,4.545,4.736666666666666,2.82,4.43
R_9pg4Mx2ymzhXOud,1,3.69,3.7925,3.08,1.99,2.76
R_1fj5sKovXpkCW7m,1,4.17,4.7425,4.050000000000001,4.98,2.54
R_1jdCQeBmcsNQqDT,2,4.03,4.115,4.12,NA,2.04
R_2EuVtRvqT87p4iS,1,5,5,5,5,1.01
R_AupwFzJ5eDg55Pb,2,3.29,2.6525000000000003,2.5766666666666667,1.95,5
R_29cZSXXwmEJbbKJ,1,4.93,4.713333333333334,4.913333333333333,5,4.93
R_3EnYzoNTUyZPrzM,2,4.3,4.5675,4.44,5,1.01
R_22ldvMVCAc67hm3,1,2.26,4.295,3.9099999999999997,3.35,3.48
R_2pWZQ3riTBss5W2,1,3.37,3.27,3.13,2.76,2.83
R_2YVXauznoriR9zT,2,3.97,3.9833333333333334,3.3633333333333333,4,1.33
R_1r7Guw2akyW7tzB,2,4.08,4.51,4.68,5,3.01
R_0CmXDzlxNkXsqB3,1,5,4.0375,4.3566666666666665,4.15,4.06
R_sGnPUeDqbBRy3kJ,1,3.92,3.885,3.953333333333333,3.64,3.25
R_3ps6WgJaOwcCDX3,2,NA,4.7875,3.99,3,1.9
R_27dr6dvOnZ9CVeV,1,4.48,4.27,4,4.03,4.01
R_qC8DTTE7zNu9EgV,2,4.09,4.0425,4.01,4.93,1.88
R_cMhywNkbSXux0wV,1,3.57,3.7725,3.8833333333333333,3.71,3.67
R_QiG0BtnPDN2kVwJ,2,5,5,5,5,5
R_vDhwJuUPdZC2S4N,1,2.43,2.7649999999999997,2.99,3.35,2.66
R_2VK2KjEUYgdYR8k,2,4.48,4.7625,4.916666666666667,4.45,4.55
R_3D6WGHmex3akU7j,1,4.01,4.279999999999999,3.76,4.04,4.09
R_01XC9yXZzvOv5bH,2,5,4.3975,4.633333333333334,5,5
R_2wHvmuviAHSZYmO,1,4.06,4.18,4.875,4.23,4.03
R_1jCgTRqohzEgigz,2,3.7,4.6175,4.776666666666666,3.67,NA
R_2gjMqo43dviPDa1,1,4.05,3.7275,3.336666666666667,5,1.92
R_WALuBNDA8ONtuNP,1,5,4.1225,4.02,5,1.92
R_10UBaNh2hnlCJmm,2,5,4.6125,4.04,3.97,4.04
R_1ClS0v48yJ7uNFW,1,5,4.8149999999999995,4.886666666666667,5,3.64
R_4T1bfVlzNOuAOL7,2,3.97,3.985,4.256666666666667,4.04,3.73
R_2Xiguogs24UTXAW,2,3.86,4.76,4.05,2.95,2.32
R_1LCByACIiolbKLB,1,4.23,4.895,4.943333333333333,4.01,1.99
R_3O08hK2OIIu7CLx,1,5,4.9325,4.3500000000000005,4.04,1.96
R_2XpoTJ476puXw8l,2,5,4.49,4.683333333333334,4.06,4.14
R_3iJVCcp2gg5ZMEx,1,5,4.025,4.035,4.06,2
R_VIKquJORebCvJjr,2,4.4,4.6325,4.793333333333333,4.34,3.04
R_10Tq55Q1xrFiemK,1,5,4.5975,3.36,5,4.08
R_3nxdyhZHBI0J77h,2,4.92,4.5225,4.716666666666667,4.16,3.12
R_3kvoxbuRYhMZOR4,2,3.98,3.7925,3.4266666666666667,3.5,2.36
R_1GPPTBvHkg119IN,1,4.03,4.7675,5,NA,4.08
R_2rBBqc5AVVj8epe,1,4.05,3.2875,3,5,2.44
R_28BNi1FsGbAJxfl,2,5,3.6525000000000003,4.35,2.96,4.04
R_1DqEWjasqWf3qMj,1,3.86,3.51,3.92,1.94,4.1
R_DV1U8h05garzw8F,2,3.44,3.61,2.515,4.05,3.6
R_1rJIycOEQMAPzpX,2,NA,NA,3.3966666666666665,NA,NA
R_2rBgzHvwfAex1rG,1,3.86,3.685,3.203333333333333,3.55,2.52
R_RfwUKfCxkeFvAPL,2,4.14,4.175,4.516666666666667,4.11,4.08
R_3J3PNVgseojAzLV,1,4.05,3.1775,3.0133333333333336,4.32,1.95
